Name,Type,Breed,Color,Sex,Size,Date Of Birth,,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
DAISY,CAT,DOMESTIC LH,CALICO/WHITE,Spayed,SMALL,01/25/2002,6158,K14-007472,CS04,A302009,01/25/2014,02/18/2014,24,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94903,"94903(38.015961, -122.546013)",1
BETSEY,CAT,DOMESTIC LH,BRN TABBY/WHITE,Spayed,SMALL,05/10/2002,6053,K14-007240,WESTFARM,A277146,01/03/2014,01/24/2014,21,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404,"95404(38.458384, -122.675588)",1
MAMA,CAT,DOMESTIC SH,WHITE/BRN TABBY,Spayed,LARGE,05/14/2002,6049,K14-008842,CS04,A306659,05/14/2014,05/29/2014,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
MAMA,CAT,DOMESTIC SH,WHITE/BRN TABBY,Spayed,LARGE,05/14/2002,6049,K14-012276,CS05,A306659,12/31/2014,06/30/2015,181,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
HUNTER,CAT,DOMESTIC MH,GRAY,Neutered,SMALL,09/30/2002,5910,K16-020969,MAC,A343050,09/30/2016,10/16/2016,16,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94901,"94901(37.973771, -122.51209)",1
LILLY,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,02/07/2003,5780,K17-022477,CA02,A348043,02/07/2017,03/07/2017,28,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
GLORIA,CAT,PERSIAN,BRN TABBY,Spayed,SMALL,02/11/2003,5776,K14-008048,CS04,A264818,03/12/2014,03/21/2014,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*ANNABELLE,CAT,DOMESTIC LH,CALICO,Spayed,LARGE,03/06/2003,5753,K15-012995,CS05,A317427,03/03/2015,03/31/2015,28,CONFISCATE,FLD_ARREST,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.403734, -122.736775)",1
SHADOW,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,11/28/2003,5486,K15-016924,WESTFARM,A329894,11/28/2015,12/12/2015,14,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
DOBIE,CAT,DOMESTIC LH,BRN TABBY,Neutered,SMALL,12/15/2003,5469,K15-017161,CS04,A330928,12/15/2015,01/06/2016,22,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*TOMMY,CAT,DOMESTIC LH,ORANGE,Neutered,SMALL,12/15/2003,5469,K15-016877,CS04,A329817,11/21/2015,01/16/2016,56,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,COUNTY,95446,"95446(38.510032, -122.996796)",1
CHLOE,CAT,SIAMESE,SEAL PT,Spayed,SMALL,01/01/2004,5452,K17-022660,CA02,A349004,02/28/2017,05/06/2017,67,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95465,"95465(38.406591, -123.001365)",1
WILLIE,CAT,DOMESTIC LH,BLACK,Neutered,SMALL,01/04/2004,5449,K14-007255,CS04,A301197,01/04/2014,01/25/2014,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
TOBY,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,01/07/2004,5446,K14-007248,CS04,A301176,01/03/2014,03/14/2014,70,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,WINDSOR,COUNTY,95436,"95436(38.491884, -122.90672)",1
HARI,CAT,HIMALAYAN/MIX,SEAL PT,Spayed,SMALL,01/31/2004,5422,K17-022649,CA02,A240619,02/28/2017,04/05/2017,36,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,OUT OF COUNTY,94947,"94947(38.098743, -122.592459)",1
HARI,CAT,HIMALAYAN/MIX,SEAL PT,Spayed,SMALL,01/31/2004,5422,K17-022393,CA02,A240619,01/31/2017,02/10/2017,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
PUMPKIN,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,02/13/2004,5409,K18-027276,CA02,A368113,02/13/2018,03/20/2018,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
LUCI,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,02/25/2004,5397,K14-007868,CS04,A088026,02/25/2014,03/18/2014,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94954,"94954(38.245316, -122.59871)",1
JOSH THE CAT,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,MED,03/03/2004,5390,K14-007918,CS05,A303460,03/01/2014,01/13/2015,318,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,COUNTY,95425,"95425(38.790859, -123.010876)",1
HUNTER,CAT,SNOWSHOE,CHOC PT/WHITE,Neutered,SMALL,03/06/2004,5387,K14-007977,SMM,A303668,03/06/2014,05/23/2014,78,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,*SONOMA,95476,"95476(38.280393, -122.464588)",1
SASSY,CAT,SNOWSHOE,SEAL PT/WHITE,Spayed,SMALL,03/06/2004,5387,K14-007976,CS04,A303667,03/06/2014,03/11/2014,5,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
EDDIE,CAT,DOMESTIC MH,ORG TABBY,Neutered,SMALL,03/07/2004,5386,K15-013062,CS05,A020107,03/07/2015,03/19/2015,12,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
FLUFFY,CAT,DOMESTIC LH,GRAY/WHITE,Spayed,SMALL,04/05/2004,5357,K14-008329,CS05,A305022,04/05/2014,06/04/2014,60,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95492,"95492(38.541541, -122.809202)",1
*BIG ORANGE,CAT,DOMESTIC LH,ORANGE,Neutered,X-LRG,04/07/2004,5355,K14-009255,CS05,A304873,06/11/2014,07/05/2014,24,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
*BIG ORANGE,CAT,DOMESTIC LH,ORANGE,Neutered,X-LRG,04/07/2004,5355,K14-008339,CS05,A304873,04/07/2014,05/29/2014,52,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC LH,ORANGE/WHITE,Spayed,SMALL,05/18/2004,5314,K17-023516,SMM,A352753,05/16/2017,05/24/2017,8,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,94951,"94951(38.314417, -122.656863)",1
MAKITA,CAT,DOMESTIC MH,GRAY TABBY,Spayed,SMALL,05/24/2004,5308,K17-023618,CA02,A353227,05/24/2017,06/10/2017,17,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95439,"95439(38.49169, -122.776056)",1
MAKITA,CAT,DOMESTIC MH,GRAY TABBY,Spayed,SMALL,05/24/2004,5308,K17-023906,CA02,A353227,06/13/2017,06/27/2017,14,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
MAGIC STAR,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,07/01/2004,5270,K15-015749,CS04,A326537,09/01/2015,09/11/2015,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95439,"95439(38.49169, -122.776056)",1
TOMMY SILVER,CAT,MAINE COON/MIX,GRAY TABBY,Neutered,SMALL,07/01/2004,5270,K15-012449,CS05,A315807,01/15/2015,01/27/2015,12,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
YOYO,CAT,DOMESTIC SH,ORANGE,Neutered,SMALL,07/18/2004,5253,K14-009866,CS04,A309184,07/18/2014,11/07/2014,112,TRANSFER,PRIV_SHELT,ADOPTION,WALKIN,HEALTHY,HEALTHY,OUT OF COUNTY,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
TANIA,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,07/19/2004,5252,K16-019746,CS06,A339505,07/12/2016,07/22/2016,10,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95403,"95403(38.486997, -122.749134)",1
MARIAH,CAT,SIAMESE/MIX,LYNX PT,Spayed,SMALL,08/17/2004,5223,K18-029310,CA02,A295811,08/01/2018,09/15/2018,45,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,OUT OF COUNTY,95422,"95422(38.962754, -122.634743)",1
COWGIRL,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,08/22/2004,5218,K15-015578,CS05,A326262,08/22/2015,08/25/2015,3,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95421,"95421(38.610732, -123.200051)",1
BABY FACE,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,08/22/2004,5218,K15-015577,CS05,A326261,08/22/2015,08/25/2015,3,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95421,"95421(38.610732, -123.200051)",1
WRANGLER,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,08/22/2004,5218,K15-015576,CS05,A326260,08/22/2015,08/25/2015,3,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95421,"95421(38.610732, -123.200051)",1
TIGER LILY,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,MED,08/24/2004,5216,K15-013226,CS05,A296104,03/18/2015,08/15/2015,150,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*VIOLET,CAT,DOMESTIC SH,WHITE,Spayed,SMALL,09/09/2004,5200,K14-008243,CS04,A267630,04/01/2014,05/15/2014,44,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,AD NWSPAPR,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
HEIDI,CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,SMALL,12/10/2004,5108,K13-006966,CA02,A300450,12/10/2013,01/14/2014,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*NAGEL,CAT,DOMESTIC SH/DOMESTIC SH,BLACK/BLACK,Neutered,SMALL,01/05/2005,5082,K15-015293,CS04,A243526,08/07/2015,09/01/2015,25,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
AMANDA,CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,03/07/2005,5021,K15-013061,CS04,A026909,03/07/2015,03/24/2015,17,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*CHARLIE,CAT,DOMESTIC SH,WHITE/GRAY,Neutered,SMALL,03/09/2005,5019,K17-022634,CA02,A348952,02/25/2017,03/15/2017,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,COUNTY,95444,"95444(38.432805, -122.865868)",1
*WILLIE,CAT,DOMESTIC MH,BRN TABBY,Neutered,SMALL,04/01/2005,4996,K14-008581,CS05,A021412,04/24/2014,05/07/2014,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541541, -122.809202)",1
LICORICE,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,04/03/2005,4994,K17-023005,CA02,A350437,04/03/2017,05/25/2017,52,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
LICORICE,CAT,DOMESTIC LH,BLACK,Neutered,SMALL,04/09/2005,4988,K15-013521,CS05,A319973,04/09/2015,06/10/2015,62,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407,"95407(38.403734, -122.736775)",1
SENNA,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,04/24/2005,4973,K15-013560,CS04,A320100,04/14/2015,05/30/2015,46,CONFISCATE,FLD_HOSPTL,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*SEBASTOPOL,95472,"95472(38.394388, -122.850998)",1
MISHKA,CAT,DOMESTIC LH,GRAY,Spayed,SMALL,06/04/2005,4932,K16-019159,MAC,A337983,06/04/2016,07/09/2016,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
ZORRO,CAT,DOMESTIC MH,BLACK/WHITE,Neutered,SMALL,06/04/2005,4932,K16-019160,CS05,A337984,06/04/2016,07/21/2016,47,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
JANE,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,07/13/2005,4893,K17-024379,CA02,A355225,07/13/2017,08/18/2017,36,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*MORRIS,CAT,DOMESTIC MH,ORG TABBY,Neutered,MED,07/14/2005,4892,K15-014924,LOBBY,A324305,07/14/2015,08/18/2015,35,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
CARLOS,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,07/21/2005,4885,K15-015033,CS05,A324547,07/21/2015,10/10/2015,81,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
TOOTSIE,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,08/08/2005,4867,K17-024745,CA02,A356595,08/08/2017,09/02/2017,25,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.446019, -122.766748)",1
JASPER,CAT,DOMESTIC SH,GRAY TABBY,Neutered,SMALL,08/13/2005,4862,K17-022648,WESTFARM,A347875,02/28/2017,03/22/2017,22,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1
JASPER,CAT,DOMESTIC SH,GRAY TABBY,Neutered,SMALL,08/13/2005,4862,K17-022392,CA02,A347875,01/31/2017,02/10/2017,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
MAGGIE,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,08/14/2005,4861,K15-015004,CS05,A324485,07/18/2015,08/19/2015,32,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
TYLER,CAT,DOMESTIC LH,BLACK/WHITE,Neutered,LARGE,08/16/2005,4859,K15-016157,CS05,A295298,09/26/2015,01/08/2016,104,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*GABBY,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,SMALL,08/28/2005,4847,K15-015397,CS05,A325998,08/13/2015,09/24/2015,42,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,OUT OF COUNTY,95437,"95437(39.447, -123.759003)",1
JOJO,CAT,DOMESTIC LH,BLACK/WHITE,Neutered,SMALL,10/01/2005,4813,K18-029319,CS05,A375105,08/01/2018,08/18/2018,17,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL-O,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*TABITHA,CAT,DOMESTIC MH,GRAY,Spayed,SMALL,10/30/2005,4784,K14-011231,CS04,A312695,10/13/2014,12/04/2014,52,STRAY,VET_HOSP,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.446019, -122.766748)",1
NEKO,CAT,BALINESE/JAVANESE,LYNX PT,Spayed,SMALL,12/01/2005,4752,K17-026725,CS06,A025673,12/18/2017,01/03/2018,16,CONFISCATE,FLD_CORONR,ADOPTION,REFERRAL-O,UNKNOWN,TREATABLE/MANAGEABLE,SANTA ROSA,COUNTY,94952,"94952(38.236012, -122.730241)",1
SAM,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,SMALL,12/16/2005,4737,K15-017176,WESTFARM,A091395,12/17/2015,01/22/2016,36,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.510032, -122.996796)",1
INDIA,CAT,DOMESTIC LH,GRAY TABBY/WHITE,Spayed,SMALL,01/01/2006,4721,K14-011975,CS04,A031061,12/05/2014,01/07/2015,33,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,AD NWSPAPR,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*BITSY,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,01/01/2006,4721,K17-026099,CA02,A093163,10/29/2017,11/25/2017,27,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,SANTA ROSA,OUT OF COUNTY,94930,"94930(37.972497, -122.607804)",1
PETRIE,CAT,DOMESTIC LH,BUFF,Neutered,SMALL,01/24/2006,4698,K18-026884,CA02,A366607,01/02/2018,01/31/2018,29,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
LILLIAN,CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,02/04/2006,4687,K14-007608,CS04,A302343,02/04/2014,02/11/2014,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
TUNER,CAT,DOMESTIC LH,BLACK,Spayed,SMALL,02/17/2006,4674,K17-022570,CA02,A348514,02/17/2017,03/22/2017,33,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
MILO,CAT,DOMESTIC SH,BUFF,Neutered,SMALL,03/07/2006,4656,K14-007989,CI01,A303684,03/07/2014,04/01/2014,25,TRANSFER,RESCUE_GRP,ADOPTION,INTERNET,HEALTHY,HEALTHY,OUT OF COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
ARIES,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,05/18/2006,4584,K16-018916,CS04,A337400,05/18/2016,06/28/2016,41,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
DIMITRI,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,05/18/2006,4584,K16-018915,CS04,A337399,05/18/2016,06/07/2016,20,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.491884, -122.90672)",1
ARIES,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,05/18/2006,4584,K16-020416,CA02,A337400,08/23/2016,11/02/2016,71,CONFISCATE,FLD_CORONR,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
SHADOW,CAT,DOMESTIC MH,BRN TABBY,Spayed,SMALL,05/23/2006,4579,K15-016585,CS04,A215232,10/28/2015,11/14/2015,17,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1
